objectid,cdmid,title,format,date
cdm104541,104541,1931 Michigan Ballot Proposals,application/pdf,1931
cdm104548,104548,1932 Michigan Ballot Proposals,application/pdf,1932
cdm104542,104542,1934 Michigan Ballot Proposals,application/pdf,1934
cdm104543,104543,1935 Michigan Ballot Propsal,application/pdf,1935
cdm104544,104544,1936 Michigan Ballot Proposals,application/pdf,1936
cdm104545,104545,1938 Michigan Ballot Proposals,application/pdf,1938
cdm104546,104546,1939 Michigan Ballot Proposals,application/pdf,1939
cdm104547,104547,1940 Michigan Ballot Proposals,application/pdf,1940
cdm104558,104558,1942 Michigan Ballot Proposals,application/pdf,1942
cdm104559,104559,1944 Michigan Ballot Proposals,application/pdf,1944
cdm104530,104530,1968 (August) Michigan Ballot Proposals,application/pdf,1968-08
cdm104531,104531,1968 (November) Michigan Ballot Proposals,application/pdf,1968-11
cdm104490,104490,1972 (August) Michigan Ballot Proposal 'A',application/pdf,1972-08
cdm104491,104491,1972 (May) Michigan Ballot Proposal 'A',application/pdf,1972-05
cdm104492,104492,1972 (May) Michigan Ballot Proposal 'B',application/pdf,1972-05
cdm104493,104493,1972 (November) Michigan Ballot Proposal 'A',application/pdf,1972-11
cdm104494,104494,1972 (November) Michigan Ballot Proposal 'B',application/pdf,1972-11
cdm104495,104495,1972 (November) Michigan Ballot Proposal 'C',application/pdf,1972-11
cdm104496,104496,1972 (November) Michigan Ballot Proposal 'D',application/pdf,1972-11
cdm104497,104497,1972 (November) Michigan Ballot Proposal 'E',application/pdf,1972-11
cdm104508,104508,1974 Michigan Ballot Proposal 'A',application/pdf,1974
cdm104509,104509,1974 Michigan Ballot Proposal 'B',application/pdf,1974
cdm104510,104510,1974 Michigan Ballot Proposal 'C',application/pdf,1974
cdm104511,104511,1974 Michigan Ballot Proposal 'D',application/pdf,1974
cdm104528,104528,1976 Michigan Ballot Proposal 'A',application/pdf,1976
cdm104525,104525,1976 Michigan Ballot Proposal 'B',application/pdf,1976
cdm104526,104526,1976 Michigan Ballot Proposal 'C',application/pdf,1976
cdm104527,104527,1976 Michigan Ballot Proposal 'D',application/pdf,1976
cdm104513,104513,1978 Michigan Ballot Proposal 'A',application/pdf,1978
cdm104514,104514,1978 Michigan Ballot Proposal 'B',application/pdf,1978
cdm104515,104515,1978 Michigan Ballot Proposal 'C',application/pdf,1978
cdm104516,104516,1978 Michigan Ballot Proposal 'D',application/pdf,1978
cdm104517,104517,1978 Michigan Ballot Proposal 'E',application/pdf,1978
cdm104518,104518,1978 Michigan Ballot Proposal 'G',application/pdf,1978
cdm104519,104519,1978 Michigan Ballot Proposal 'H',application/pdf,1978
cdm104520,104520,1978 Michigan Ballot Proposal 'J',application/pdf,1978
cdm104521,104521,1978 Michigan Ballot Proposal 'K',application/pdf,1978
cdm104522,104522,1978 Michigan Ballot Proposal 'M',application/pdf,1978
cdm104523,104523,1978 Michigan Ballot Proposal 'R',application/pdf,1978
cdm104499,104499,1980 Michigan Ballot Proposals,application/pdf,1980
cdm104500,104500,1980 Michigan Ballot Proposal 'A',application/pdf,1980
cdm104501,104501,1980 Michigan Ballot Proposal 'B',application/pdf,1980
cdm104502,104502,1980 Michigan Ballot Proposal 'C',application/pdf,1980
cdm104503,104503,1980 Michigan Ballot Proposal 'D',application/pdf,1980
cdm104504,104504,1980 Michigan Ballot Proposal 'E',application/pdf,1980
cdm104505,104505,1980 Michigan Ballot Proposal 'G',application/pdf,1980
cdm104506,104506,1980 Michigan Ballot Proposal 'H',application/pdf,1980
