title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"1931 Michigan Ballot Proposals","","","","1931","","","","","","","","","","","","","","application/pdf","","","104541","cdm104541","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104541","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104541.pdf","https://temoshee.github.io/ballotproposals/items/cdm104541.html"
"1932 Michigan Ballot Proposals","","","","1932","","","","","","","","","","","","","","application/pdf","","","104548","cdm104548","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104548","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104548.pdf","https://temoshee.github.io/ballotproposals/items/cdm104548.html"
"1934 Michigan Ballot Proposals","","","","1934","","","","","","","","","","","","","","application/pdf","","","104542","cdm104542","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104542","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104542.pdf","https://temoshee.github.io/ballotproposals/items/cdm104542.html"
"1935 Michigan Ballot Propsal","","","","1935","","","","","","","","","","","","","","application/pdf","","","104543","cdm104543","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104543","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104543.pdf","https://temoshee.github.io/ballotproposals/items/cdm104543.html"
"1936 Michigan Ballot Proposals","","","","1936","","","","","","","","","","","","","","application/pdf","","","104544","cdm104544","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104544","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104544.pdf","https://temoshee.github.io/ballotproposals/items/cdm104544.html"
"1938 Michigan Ballot Proposals","","","","1938","","","","","","","","","","","","","","application/pdf","","","104545","cdm104545","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104545","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104545.pdf","https://temoshee.github.io/ballotproposals/items/cdm104545.html"
"1939 Michigan Ballot Proposals","","","","1939","","","","","","","","","","","","","","application/pdf","","","104546","cdm104546","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104546","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104546.pdf","https://temoshee.github.io/ballotproposals/items/cdm104546.html"
"1940 Michigan Ballot Proposals","","","","1940","","","","","","","","","","","","","","application/pdf","","","104547","cdm104547","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104547","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104547.pdf","https://temoshee.github.io/ballotproposals/items/cdm104547.html"
"1942 Michigan Ballot Proposals","","","","1942","","","","","","","","","","","","","","application/pdf","","","104558","cdm104558","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104558","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104558.pdf","https://temoshee.github.io/ballotproposals/items/cdm104558.html"
"1944 Michigan Ballot Proposals","","","","1944","","","","","","","","","","","","","","application/pdf","","","104559","cdm104559","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104559","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104559.pdf","https://temoshee.github.io/ballotproposals/items/cdm104559.html"
"1968 (August) Michigan Ballot Proposals","","","","1968-08","","","","","","","","","","","","","","application/pdf","","","104530","cdm104530","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104530","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104530.pdf","https://temoshee.github.io/ballotproposals/items/cdm104530.html"
"1968 (November) Michigan Ballot Proposals","","","","1968-11","","","","","","","","","","","","","","application/pdf","","","104531","cdm104531","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104531","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104531.pdf","https://temoshee.github.io/ballotproposals/items/cdm104531.html"
"1972 (August) Michigan Ballot Proposal &#39;A&#39;","","","","1972-08","","","","","","","","","","","","","","application/pdf","","","104490","cdm104490","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104490","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104490.pdf","https://temoshee.github.io/ballotproposals/items/cdm104490.html"
"1972 (May) Michigan Ballot Proposal &#39;A&#39;","","","","1972-05","","","","","","","","","","","","","","application/pdf","","","104491","cdm104491","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104491","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104491.pdf","https://temoshee.github.io/ballotproposals/items/cdm104491.html"
"1972 (May) Michigan Ballot Proposal &#39;B&#39;","","","","1972-05","","","","","","","","","","","","","","application/pdf","","","104492","cdm104492","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104492","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104492.pdf","https://temoshee.github.io/ballotproposals/items/cdm104492.html"
"1972 (November) Michigan Ballot Proposal &#39;A&#39;","","","","1972-11","","","","","","","","","","","","","","application/pdf","","","104493","cdm104493","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104493","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104493.pdf","https://temoshee.github.io/ballotproposals/items/cdm104493.html"
"1972 (November) Michigan Ballot Proposal &#39;B&#39;","","","","1972-11","","","","","","","","","","","","","","application/pdf","","","104494","cdm104494","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104494","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104494.pdf","https://temoshee.github.io/ballotproposals/items/cdm104494.html"
"1972 (November) Michigan Ballot Proposal &#39;C&#39;","","","","1972-11","","","","","","","","","","","","","","application/pdf","","","104495","cdm104495","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104495","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104495.pdf","https://temoshee.github.io/ballotproposals/items/cdm104495.html"
"1972 (November) Michigan Ballot Proposal &#39;D&#39;","","","","1972-11","","","","","","","","","","","","","","application/pdf","","","104496","cdm104496","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104496","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104496.pdf","https://temoshee.github.io/ballotproposals/items/cdm104496.html"
"1972 (November) Michigan Ballot Proposal &#39;E&#39;","","","","1972-11","","","","","","","","","","","","","","application/pdf","","","104497","cdm104497","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104497","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104497.pdf","https://temoshee.github.io/ballotproposals/items/cdm104497.html"
"1974 Michigan Ballot Proposal &#39;A&#39;","","","","1974","","","","","","","","","","","","","","application/pdf","","","104508","cdm104508","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104508","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104508.pdf","https://temoshee.github.io/ballotproposals/items/cdm104508.html"
"1974 Michigan Ballot Proposal &#39;B&#39;","","","","1974","","","","","","","","","","","","","","application/pdf","","","104509","cdm104509","","https://cdm16110.contentdm.oclc.org/utils/getthumbnail/collection/p16110coll7/id/104509","https://cdm16110.contentdm.oclc.org/utils/getfile/collection/p16110coll7/id/104509.pdf","https://temoshee.github.io/ballotproposals/items/cdm104509.html"
